Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
46,55,101,Pd,-85432.145,4.588,experimental,8560.8644,0.0454,experimental,-4097.7606,6.6679,19391.9194,6.8632,experimental,12384.702,4.5993,experimental,-1736.4963,5.3532,experimental,8290.7904,18.2233,experimental,7129.9857,18.6966,experimental,864647.3044,high,True
47,54,101,Ag,-81334.384,4.838,experimental,8512.5465,0.0479,experimental,-5497.9186,5.0625,20764.5374,7.9158,experimental,10327.8046,20.0433,experimental,-1161.7358,35.7916,experimental,11267.7328,6.9575,experimental,3410.6828,18.2885,experimental,859767.1965000001,high,True
48,53,101,Cd,-75836.466,1.49,experimental,8450.3657,0.0148,experimental,-7291.5642,11.7569,22047.9699,2.1746,experimental,8231.5463,5.32,experimental,-455.529,5.0679,experimental,9713.1882,2.2433,experimental,4987.4673,5.2172,experimental,853486.9357,high,True
49,52,101,In,-68544.901,11.662,experimental,8370.426,0.1155,experimental,-8239.277,300.2313,23311.0,298.0,estimated,6410.3606,13.2384,experimental,-65.7903,16.7449,experimental,12438.0733,11.8744,experimental,1639.277,11.7819,experimental,845413.026,mixed,True
50,51,101,Sn,-60305.624,300.005,experimental,8281.103,2.9703,experimental,,,28472.0,655.0,estimated,4952.4347,300.0089,experimental,-1996.5133,516.2821,experimental,11228.7963,384.1976,experimental,3416.4493,300.013,experimental,836391.4029999999,mixed,True
40,62,102,Zr,-71581.427,8.758,experimental,8466.294,0.0859,experimental,4716.838,9.053,11351.3271,11.9576,experimental,26341.8645,11.1594,experimental,-7583.9543,9.3327,experimental,6491.7581,12.087,experimental,13815.6114,11.2604,experimental,863561.988,high,True
41,61,102,Nb,-76298.265,2.511,experimental,8504.8675,0.0246,experimental,7262.6008,8.675,12649.6552,8.3599,experimental,23554.9659,11.4557,experimental,-6434.4331,8.3052,experimental,5478.095,4.5117,experimental,10426.2491,8.7007,experimental,867496.485,high,True
42,60,102,Mo,-83560.866,8.305,experimental,8568.3994,0.0814,experimental,1012.0557,12.3682,13510.473,8.3089,experimental,21766.0718,11.6306,experimental,-4704.024,11.8435,experimental,8112.2321,8.3092,experimental,11958.3488,9.1105,experimental,873976.7388,high,True
43,59,102,Tc,-84572.921,9.166,experimental,8570.6514,0.0899,experimental,4533.5134,9.1646,14694.6063,9.2634,experimental,19359.6177,12.1504,experimental,-3473.225,10.4417,experimental,6299.6467,25.6903,experimental,8341.9408,9.1646,experimental,874206.4428000001,high,True
44,58,102,Ru,-89106.435,0.416,experimental,8607.4275,0.0041,experimental,-2323.1187,6.396,16021.6796,0.24,experimental,17491.3482,0.2918,experimental,-3415.3703,0.4495,experimental,9219.6402,0.05,experimental,10050.8132,24.0001,experimental,877957.605,high,True
45,57,102,Rh,-86783.316,6.41,experimental,8576.9818,0.0628,experimental,1119.647,6.3962,17334.8222,19.2202,experimental,15340.307,6.5467,experimental,-2776.0181,7.2441,experimental,7442.2061,8.6692,experimental,6114.1745,6.3962,experimental,874852.1436,high,True
46,56,102,Pd,-87902.963,0.419,experimental,8580.2887,0.0041,experimental,-5656.2615,8.1816,18832.9268,17.6365,experimental,13253.5139,0.2441,experimental,-2103.0075,6.4759,experimental,10542.1364,4.6048,experimental,7779.5061,5.8522,experimental,875189.4474,high,True
47,55,102,Ag,-82246.702,8.171,experimental,8517.165,0.0801,experimental,-2587.0,8.0,20251.3683,9.5793,experimental,11233.5137,19.8818,experimental,-1496.3989,14.4405,experimental,8983.6355,9.4959,experimental,4103.5279,9.3708,experimental,868750.8300000001,high,True
48,54,102,Cd,-79659.702,1.662,experimental,8484.1322,0.0163,experimental,-8964.8059,4.8654,21607.7423,2.3611,experimental,9024.9713,17.715,experimental,-763.632,5.0251,experimental,11894.554,2.2327,experimental,5614.2885,5.1158,experimental,865381.4844,high,True
49,53,102,In,-70694.896,4.573,experimental,8388.5719,0.0448,experimental,-5760.0,100.0,22659.3856,5.0901,experimental,7134.8683,6.7757,experimental,-53.3868,33.2235,experimental,10221.3123,12.5265,experimental,2147.4011,4.8096,experimental,855634.3338000001,high,True
50,52,102,Sn,-64934.896,100.105,experimental,8324.4313,0.9814,experimental,-13835.0,412.0,23929.3856,260.0498,experimental,5318.2423,100.1185,experimental,276.6132,112.7111,experimental,12700.5893,316.2653,experimental,3678.9653,100.7815,experimental,849091.9926,high,True
51,51,102,Sb,-51100.0,400.0,estimated,8181.0,4.0,estimated,,,,,not_calculable,1500.0,400.0,estimated,382.0,502.0,estimated,,,not_calculable,-1917.0,500.0,estimated,834462.0,low,False
40,63,103,Zr,-67808.993,9.223,experimental,8425.8337,0.0895,experimental,7219.674,10.027,10790.6428,12.4281,experimental,27062.0212,12.5287,experimental,-7715.3826,10.3675,experimental,4298.8847,12.7169,experimental,13925.3233,10.0853,experimental,867860.8710999999,high,True
41,62,103,Nb,-75028.667,3.935,experimental,8488.332,0.0382,experimental,5925.6639,10.027,12279.8157,5.4027,experimental,24551.8231,8.1003,experimental,-6809.8529,7.6966,experimental,6801.7207,4.6675,experimental,10736.2117,9.6009,experimental,874298.196,high,True
42,61,103,Mo,-80954.331,9.223,experimental,8538.2672,0.0895,experimental,3649.5889,13.4648,13577.0159,9.2278,experimental,22371.2867,12.4281,experimental,-5762.5771,13.9738,experimental,5464.7839,12.41,experimental,11945.0376,9.5566,experimental,879441.5216,high,True
43,60,103,Tc,-84603.92,9.81,experimental,8566.1045,0.0952,experimental,2663.2474,9.8086,14401.9637,25.9271,experimental,20290.3745,10.4925,experimental,-4693.4923,15.4992,experimental,8102.317,13.048,experimental,8332.0257,12.8531,experimental,882308.7635,high,True
44,59,103,Ru,-87267.168,0.441,experimental,8584.3656,0.0043,experimental,764.5378,2.2598,15451.6911,0.156,experimental,18325.1582,0.3339,experimental,-3721.9773,0.4947,experimental,6232.0509,0.1478,experimental,9983.2173,9.1647,experimental,884189.6567999999,high,True
45,58,103,Rh,-88031.705,2.301,experimental,8584.1927,0.0223,experimental,-574.7252,2.3928,16761.9136,6.1774,experimental,16265.0549,24.1066,experimental,-3128.7521,2.4642,experimental,9319.7075,6.785,experimental,6214.2417,2.2644,experimental,884171.8481,high,True
46,57,103,Pd,-87456.98,0.878,experimental,8571.0173,0.0085,experimental,-2654.2778,4.1916,18167.4716,4.669,experimental,14076.8097,0.7747,experimental,-2256.5112,0.8098,experimental,7625.3353,0.7717,experimental,7962.6352,6.4426,experimental,882814.7819,high,True
47,56,103,Ag,-84802.702,4.099,experimental,8537.652,0.0398,experimental,-4151.0761,4.4806,19610.9544,6.3408,experimental,11968.2165,7.1352,experimental,-1643.0966,19.8777,experimental,10627.3189,9.1412,experimental,4188.7104,4.1199,experimental,879378.156,high,True
48,55,103,Cd,-80651.626,1.811,experimental,8489.7547,0.0176,experimental,-6019.2293,9.1242,20957.7968,2.345,experimental,9797.4237,4.9322,experimental,-893.6808,5.4179,experimental,9063.2428,2.4578,experimental,5693.8958,8.369,experimental,874444.7341,high,True
49,54,103,In,-74632.397,8.98,experimental,8423.7199,0.0872,experimental,-7540.0,100.0,22230.1318,14.7191,experimental,7875.955,10.2008,experimental,-344.83,10.9499,experimental,12008.8195,10.0776,experimental,2261.6666,9.133,experimental,867643.1497,high,True
50,53,103,Sn,-67092.0,100.0,estimated,8343.0,1.0,estimated,-10422.0,316.0,22929.0,316.0,estimated,5834.0,100.0,estimated,414.0,100.0,estimated,10229.0,142.0,estimated,3686.0,101.0,estimated,859329.0,low,False
51,52,103,Sb,-56670.0,300.0,estimated,8234.0,3.0,estimated,,,,,not_calculable,2703.0,300.0,estimated,2281.0,423.0,estimated,13642.0,500.0,estimated,-976.0,316.0,estimated,848102.0,low,False
40,64,104,Zr,-65717.66,9.316,experimental,8402.3159,0.0896,experimental,6093.3367,9.4851,10278.8691,12.7847,experimental,28136.2908,67.7115,experimental,-8325.0712,11.6026,experimental,5979.9844,13.1076,experimental,14549.5974,14.5724,experimental,873840.8535999999,high,True
41,63,104,Nb,-71810.997,1.784,experimental,8453.3832,0.0172,experimental,8532.7512,9.0879,11655.3678,3.08,experimental,25216.2974,4.454,experimental,-6914.6714,11.3201,experimental,4853.6471,4.3202,experimental,11290.9741,9.3937,experimental,879151.8528,high,True
42,62,104,Mo,-80343.748,8.911,experimental,8527.9063,0.0857,experimental,2155.2212,24.1665,12925.5182,12.1802,experimental,23340.263,12.4928,experimental,-6395.9277,12.0704,experimental,7460.7344,12.8231,experimental,12604.0513,9.7408,experimental,886902.2552,high,True
43,61,104,Tc,-82498.969,24.886,experimental,8541.107,0.2393,experimental,5596.7945,24.937,14068.6838,26.4644,experimental,20778.6462,25.0123,experimental,-5132.6391,26.1329,experimental,5966.3668,26.6806,experimental,8833.6086,26.5399,experimental,888275.128,high,True
44,60,104,Ru,-88095.763,2.498,experimental,8587.3998,0.024,experimental,-1136.4195,3.3643,15131.9648,2.4923,experimental,19112.84,8.6719,experimental,-4327.6506,2.4953,experimental,8899.9139,2.4916,experimental,10780.8143,9.4868,experimental,893089.5791999999,high,True
45,59,104,Rh,-86959.344,2.303,experimental,8568.9501,0.0221,experimental,2435.7789,2.6595,16318.664,6.7855,experimental,16964.3648,9.4394,experimental,-3363.3087,2.6606,experimental,6998.9566,0.0814,experimental,6981.1474,2.2612,experimental,891170.8104,high,True
46,58,104,Pd,-89395.123,1.336,experimental,8584.8485,0.0129,experimental,-4278.6529,4.0,17634.796,1.3957,experimental,14866.6302,1.395,experimental,-2592.6475,1.3762,experimental,10009.4607,1.5948,experimental,8652.3885,2.6583,experimental,892824.244,high,True
47,57,104,Ag,-85116.47,4.217,experimental,8536.185,0.0406,experimental,-1148.0787,4.537,19012.4045,9.1951,experimental,12911.0961,7.6717,experimental,-1950.2558,18.6092,experimental,8385.0857,5.8809,experimental,4948.4608,4.3062,experimental,887763.24,high,True
48,56,104,Cd,-83968.391,1.673,experimental,8517.6232,0.0161,experimental,-7785.7166,6.0127,20451.3259,2.3583,experimental,10643.3704,1.7244,experimental,-1180.6348,17.716,experimental,11388.083,2.4649,experimental,6454.66,4.4268,experimental,885832.8128,high,True
49,55,104,In,-76182.675,5.775,experimental,8435.238,0.0555,experimental,-4555.6174,8.1461,21630.4151,7.3665,experimental,8513.9152,10.0059,experimental,-469.6211,7.6389,experimental,9621.5957,10.6772,experimental,2820.0194,6.0524,experimental,877264.752,high,True
50,54,104,Sn,-71627.057,5.745,experimental,8383.9114,0.0552,experimental,-12332.0,102.0,22834.7977,100.2692,experimental,6545.2978,5.9807,experimental,142.6223,5.9847,experimental,12606.0,101.0,estimated,4283.6312,10.6608,experimental,871926.7856000001,mixed,True
51,53,104,Sb,-59295.0,101.0,estimated,8258.0,1.0,estimated,-9668.0,333.0,24337.0,412.0,estimated,3178.0,102.0,estimated,2458.0,101.0,estimated,10696.0,317.0,estimated,-508.687,14.5426,experimental,858832.0,low,False
52,52,104,Te,-49626.831,317.609,experimental,8157.3256,3.0539,experimental,,,,,not_calculable,-730.1229,333.0116,experimental,5096.3997,208.0163,experimental,,,not_calculable,246.0,437.0,estimated,848361.8624,mixed,True
40,65,105,Zr,-61458.274,12.11,experimental,8358.598,0.1153,experimental,8457.2728,12.7625,9791.9164,15.221,experimental,28756.0,201.0,estimated,-8558.2752,14.784,experimental,3811.9319,15.2776,experimental,14667.0,201.0,estimated,877652.79,high,True
41,64,105,Nb,-69915.547,4.028,experimental,8431.6925,0.0384,experimental,7415.2411,9.9106,11029.5152,5.5991,experimental,26036.4551,11.9078,experimental,-7285.6759,8.1461,experimental,6175.8681,4.4055,experimental,11486.8577,10.1495,experimental,885327.7124999999,high,True
42,63,105,Mo,-77330.788,9.055,experimental,8494.863,0.0862,experimental,4955.5157,35.0307,12519.0923,12.9237,experimental,24099.7363,12.9237,experimental,-6594.7166,12.3043,experimental,5058.358,12.703,experimental,12808.7621,9.2293,experimental,891960.615,high,True
43,62,105,Tc,-82286.303,35.263,experimental,8534.6074,0.3358,experimental,3648.2396,35.2787,13825.0192,36.532,experimental,21835.578,35.4805,experimental,-5819.7313,35.4604,experimental,7858.6525,43.1423,experimental,9231.5267,36.3692,experimental,896133.7770000001,high,True
