Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
50,52,102,Sn,-64934.896,8324.4313,23929.3856,5318.2423,12700.5893,3678.9653,276.6132,-13835.0,1472.0,0.176,0.1104,0.73,1969.0,1.3376358695652173,50,52,102,0,32,2,30,0,0,2,1
51,51,102,Sb,-51100.0,8181.0,,1500.0,,-1917.0,382.0,,,,,,,,51,51,102,1,31,1,31,1,1,2,0
40,63,103,Zr,-67808.993,8425.8337,10790.6428,27062.0212,4298.8847,13925.3233,-7715.3826,7219.674,,,,,,,40,63,103,10,42,13,19,0,1,23,0
41,62,103,Nb,-75028.667,8488.332,12279.8157,24551.8231,6801.7207,10736.2117,-6809.8529,5925.6639,,,,,,,41,62,103,9,41,12,20,1,0,21,0
42,61,103,Mo,-80954.331,8538.2672,13577.0159,22371.2867,5464.7839,11945.0376,-5762.5771,3649.5889,,,,,,,42,61,103,8,40,11,21,0,1,19,0
43,60,103,Tc,-84603.92,8566.1045,14401.9637,20290.3745,8102.317,8332.0257,-4693.4923,2663.2474,,,,,,,43,60,103,7,39,10,22,1,0,17,0
44,59,103,Ru,-87267.168,8584.3656,15451.6911,18325.1582,6232.0509,9983.2173,-3721.9773,764.5378,,,,,,,44,59,103,6,38,9,23,0,1,15,0
45,58,103,Rh,-88031.705,8584.1927,16761.9136,16265.0549,9319.7075,6214.2417,-3128.7521,-574.7252,,,,,,,45,58,103,5,37,8,24,1,0,13,0
46,57,103,Pd,-87456.98,8571.0173,18167.4716,14076.8097,7625.3353,7962.6352,-2256.5112,-2654.2778,,,,,,,46,57,103,4,36,7,25,0,1,11,0
47,56,103,Ag,-84802.702,8537.652,19610.9544,11968.2165,10627.3189,4188.7104,-1643.0966,-4151.0761,,,,,,,47,56,103,3,35,6,26,1,0,9,0
48,55,103,Cd,-80651.626,8489.7547,20957.7968,9797.4237,9063.2428,5693.8958,-893.6808,-6019.2293,,,,,,,48,55,103,2,34,5,27,0,1,7,0
49,54,103,In,-74632.397,8423.7199,22230.1318,7875.955,12008.8195,2261.6666,-344.83,-7540.0,,,,,,,49,54,103,1,33,4,28,1,0,5,0
50,53,103,Sn,-67092.0,8343.0,22929.0,5834.0,10229.0,3686.0,414.0,-10422.0,,,,,,,50,53,103,0,32,3,29,0,1,3,0
51,52,103,Sb,-56670.0,8234.0,,2703.0,13642.0,-976.0,2281.0,,,,,,,,51,52,103,1,31,2,30,1,0,3,0
40,64,104,Zr,-65717.66,8402.3159,10278.8691,28136.2908,5979.9844,14549.5974,-8325.0712,6093.3367,139.3,1.55,0.36,2600.0,452.14,3.245101557453528,40,64,104,10,42,14,18,0,0,24,1
41,63,104,Nb,-71810.997,8453.3832,11655.3678,25216.2974,4853.6471,11290.9741,-6914.6714,8532.7512,,,,,,,41,63,104,9,41,13,19,1,1,22,0
42,62,104,Mo,-80343.748,8527.9063,12925.5182,23340.263,7460.7344,12604.0513,-6395.9277,2155.2212,192.19,1.29,0.351,1817.0,560.6812,2.917191036373758,42,62,104,8,40,12,20,0,0,20,1
43,61,104,Tc,-82498.969,8541.107,14068.6838,20778.6462,5966.3668,8833.6086,-5132.6391,5596.7945,,,,,,,43,61,104,7,39,11,21,1,1,18,0
44,60,104,Ru,-88095.763,8587.3998,15131.9648,19112.84,8899.9139,10780.8143,-4327.6506,-1136.4195,358.02,1.074,0.306,255.0,888.489,2.4816256874481537,44,60,104,6,38,10,22,0,0,16,1
45,59,104,Rh,-86959.344,8568.9501,16318.664,16964.3648,6998.9566,6981.1474,-3363.3087,2435.7789,,,,,,,45,59,104,5,37,9,23,1,1,14,0
46,58,104,Pd,-89395.123,8584.8485,17634.796,14866.6302,10009.4607,8652.3885,-2592.6475,-4278.6529,555.81,0.66,0.2294,17.5,1323.596,2.381364989007114,46,58,104,4,36,8,24,0,0,12,1
