Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
48,62,110,Cd,-90347.969,8551.2755,17238.183,15401.6963,9914.9571,8917.5099,-2865.3425,-3878.0,657.7645,0.501,0.1847,9.04,1542.444114,2.3449870693488246,48,62,110,2,34,12,20,0,0,14,1
49,61,110,In,-86469.969,8508.9087,18492.7774,13441.1201,8051.7618,5254.6101,-1952.4859,-627.9769,,,,,,,49,61,110,1,33,11,21,1,1,12,0
50,60,110,Sn,-85841.993,8496.0875,19914.6798,11167.5121,11283.1301,6641.4378,-1134.7556,-8392.248,1211.88,0.232,0.1207,0.56,2197.051,1.8127049765310896,50,60,110,0,32,10,22,0,0,10,1
51,59,110,Sb,-77449.745,8412.6821,21147.0398,7907.8584,9270.0761,2108.5351,733.4893,-5219.924,,,,,,,51,59,110,1,31,9,23,1,1,10,0
52,58,110,Te,-72229.821,8358.116,22590.7804,4737.8138,12585.7392,3267.8051,2698.9612,-11761.9766,657.7,0.46,0.163,5.7,1401.84,2.1329519346347547,52,58,110,2,30,8,24,0,0,10,1
53,57,110,I,-60467.844,8244.0767,23839.0,2600.4452,10866.6567,41.4156,3580.5414,-8545.2075,,,,,,,53,57,110,3,29,7,25,1,1,10,0
54,56,110,Xe,-51922.636,8159.2808,25432.9161,718.9023,13824.4081,1539.1022,3872.2066,,469.7,0.971,0.2257,22.5,1113.14,2.369885587031778,54,56,110,4,28,6,26,0,0,10,1
40,71,111,Zr,-36480.0,8118.0,6893.0,,2331.0,,-10655.0,12480.0,,,,,,,40,71,111,10,42,21,11,0,1,21,0
41,70,111,Nb,-48960.0,8223.0,8413.0,31058.0,4722.0,14029.0,-9415.0,10980.0,,,,,,,41,70,111,9,41,20,12,1,0,21,0
42,69,111,Mo,-59939.813,8315.2932,9423.165,28788.0,3475.3171,14918.8702,-8345.0,9084.862,,,,,,,42,69,111,8,40,19,13,0,1,21,0
43,68,111,Tc,-69024.675,8390.0906,10884.4831,26912.818,6061.43,11777.832,-7725.7868,7760.65,,,,,,,43,68,111,7,39,18,14,1,0,21,0
44,67,111,Ru,-76785.325,8452.9582,12189.5063,24703.9829,4784.0145,13039.7329,-6665.2664,5518.5456,,,,,,,44,67,111,6,38,17,15,0,1,21,0
45,66,111,Rh,-82303.871,8495.6267,13447.2561,22598.9846,7546.4963,9520.2131,-5978.8199,3682.0153,,,,,,,45,66,111,5,37,16,16,1,0,21,0
46,65,111,Pd,-85985.886,8521.7498,14522.0387,19825.3732,5726.3,10446.1646,-4548.2367,2229.5607,,,,,,,46,65,111,4,36,15,17,0,1,19,0
47,64,111,Ag,-88215.447,8534.7878,15638.6525,17794.1382,8829.4589,7173.5137,-3776.6517,1036.8,,,,,,,47,64,111,3,35,14,18,1,0,17,0
48,63,111,Cd,-89252.247,8537.0801,16890.5527,16223.7054,6975.5956,9083.9119,-3304.5091,-860.1972,,,,,,,48,63,111,2,34,13,19,0,1,15,0
49,62,111,In,-88392.05,8522.2824,18045.1602,14250.5613,9993.3984,5333.0514,-2410.2661,-2453.4692,,,,,,,49,62,111,1,33,12,20,1,0,13,0
50,61,111,Sn,-85938.581,8493.131,19451.0363,12012.1923,8167.9061,6757.5822,-1373.171,-5101.834,,,,,,,50,61,111,0,32,11,21,0,1,11,0
51,60,111,Sb,-80836.747,8440.1203,20728.3963,8925.163,11458.3202,2283.7251,305.0044,-7249.2597,,,,,,,51,60,111,1,31,10,22,1,0,11,0
52,59,111,Te,-73587.487,8367.7635,22014.7236,5535.2486,9428.9845,3426.7135,2499.836,-8633.6922,,,,,,,52,59,111,2,30,9,23,0,1,11,0
53,58,111,I,-64953.795,8282.9343,23423.9256,3280.7504,12557.2689,12.9453,3274.5378,-10434.0,,,,,,,53,58,111,3,29,8,24,1,0,11,0
54,57,111,Xe,-54520.0,8182.0,24493.0,1383.0,10669.0,1341.0,3712.1503,-11620.0,,,,,,,54,57,111,4,28,7,25,0,1,11,0
55,56,111,Cs,-42900.0,8070.0,,-195.0,,-1734.0,4105.0,,,,,,,,55,56,111,5,27,6,26,1,0,11,0
40,72,112,Zr,-32420.0,8081.0,6342.0,,4011.0,,,11650.0,,,,,,,40,72,112,10,42,22,10,0,0,20,1
41,71,112,Nb,-44070.0,8178.0,7903.0,,3181.0,14879.0,-9715.0,13410.0,,,,,,,41,71,112,9,41,21,11,1,1,20,0
42,70,112,Mo,-57480.0,8291.0,9087.0,29838.0,5611.0,15808.0,-8955.0,7779.0,,,,,,,42,70,112,8,40,20,12,0,0,20,1
43,69,112,Tc,-65258.932,8353.6217,10367.0046,27526.9599,4305.5747,12608.0896,-8138.6503,10371.9409,,,,,,,43,69,112,7,39,19,13,1,1,20,0
44,68,112,Ru,-75630.873,8439.2431,11700.8801,25673.0006,6916.8656,13895.1685,-7306.4913,4100.179,,,,,644.972,2.7249467239226064,44,68,112,6,38,18,14,0,0,20,1
45,67,112,Rh,-79731.052,8468.8666,13044.9952,23274.4305,5498.499,10234.6975,-6233.1373,6589.9874,,,,,,,45,67,112,5,37,17,15,1,1,20,0
46,66,112,Pd,-86321.039,8520.7205,14132.771,20826.3524,8406.4711,11306.1394,-5084.5511,262.6897,348.79,0.83,0.245,118.0,882.9616,2.532433625412399,46,66,112,4,36,16,16,0,0,20,1
47,65,112,Ag,-86583.729,8516.0807,15269.059,18332.9783,6439.6,7886.8138,-3977.4892,3991.1283,,,,,,,47,65,112,3,35,15,17,1,1,18,0
48,64,112,Cd,-90574.857,8544.7306,16369.524,16821.8951,9393.9283,9648.3813,-3475.5579,-2584.7306,617.52,0.536,0.1888,13.94,1415.48025,1.078550878290217,48,64,112,2,34,14,18,0,0,16,1
49,63,112,In,-87990.127,8514.6674,17662.7934,15110.7627,7669.395,6026.8508,-2808.2511,664.9224,,,,,,,49,63,112,1,33,13,19,1,1,14,0
50,62,112,Sn,-88655.049,8513.6189,18955.6928,12885.0218,10787.7866,7551.9704,-1827.5424,-7056.076,1256.85,0.215,0.1147,0.511,2247.396,1.788339882262508,50,62,112,0,32,12,20,0,0,12,1
51,61,112,Sb,-81598.973,8443.633,20291.8647,9706.9458,8833.5446,2949.3636,95.9392,-4031.455,,,,,,,51,61,112,1,31,11,21,1,1,12,0
52,60,112,Te,-77567.518,8400.6527,21480.3337,6303.4677,12051.3493,4019.7426,2077.5148,-10504.1795,689.01,0.556,0.1774,4.09,1476.13,2.1424175836935166,52,60,112,2,30,10,22,0,0,12,1
53,59,112,I,-67063.339,8299.8801,22738.1308,4191.5362,10180.8619,764.8227,2957.0864,-7036.991,,,,,,,53,59,112,3,29,9,23,1,1,12,0
54,58,112,Xe,-60026.348,8230.0646,24246.3472,2374.4692,13578.0,2361.5239,3330.4128,-13612.0,466.0,0.971,0.2257,22.5,1122.13,2.40799395710748,54,58,112,4,28,8,24,0,0,12,1
55,57,112,Cs,-46415.0,8102.0,,525.0,11586.0,-816.2864,3931.4368,,,,,,,,55,57,112,5,27,7,25,1,1,12,0
40,73,113,Zr,-26340.0,8027.0,6002.0,,1991.0,,,13870.0,,,,,,,40,73,113,10,42,23,9,0,1,19,0
41,72,113,Nb,-40210.0,8143.0,7392.0,,4211.0,15079.0,-10154.0,12440.0,,,,,,,41,72,113,9,41,22,10,1,0,19,0
42,71,113,Mo,-52650.0,8246.0,8853.0,30748.0,3242.0,15869.0,-9345.0,10162.0,,,,,,,42,71,113,8,40,21,11,0,1,19,0
43,70,113,Tc,-62811.549,8329.4652,9929.5094,28429.0,5623.9347,12621.0,-8546.665,9056.2674,,,,,,,43,70,113,7,39,20,12,1,0,19,0
44,69,113,Ru,-71867.816,8402.6857,11225.1268,26505.9447,4308.2612,13897.8551,-7633.4473,6899.1276,,,,,,,44,69,113,6,38,19,13,0,1,19,0
45,68,113,Rh,-78766.944,8456.8165,12605.7089,24320.2104,7107.2099,10425.0419,-6909.0311,4823.5559,,,,,,,45,68,113,5,37,18,14,1,0,19,0
46,67,113,Pd,-83590.5,8492.5795,13747.2495,21383.1163,5340.7784,11148.4188,-5276.9603,3436.3252,,,,,,,46,67,113,4,36,17,15,0,1,19,0
47,66,113,Ag,-87026.825,8516.066,14954.0139,19300.896,8514.4139,7994.7566,-4452.4897,2016.4615,,,,,,,47,66,113,3,35,16,16,1,0,19,0
48,65,113,Cd,-89043.286,8526.9874,15933.6755,17635.3422,6539.7471,9748.5284,-3861.7185,323.837,,,,,,,48,65,113,2,34,15,17,0,1,17,0
49,64,113,In,-89367.123,8522.9297,17117.7097,15729.6185,9448.3147,6081.2372,-3072.6086,-1038.9941,,,,,,,49,64,113,1,33,14,18,1,0,15,0
50,63,113,Sn,-88328.129,8506.8117,18532.1848,13653.8244,7744.3982,7626.9736,-2248.7147,-3911.1637,,,,,,,50,63,113,0,32,13,19,0,1,13,0
51,62,113,Sb,-84416.966,8465.2762,19722.8551,10602.8579,10889.3105,3050.8874,-352.3556,-6069.9281,,,,,,,51,62,113,1,31,12,20,1,0,13,0
52,61,113,Te,-78347.037,8404.6366,20902.1867,6986.3989,8850.8374,4037.0354,1858.2272,-7227.521,,,,,,,52,61,113,2,30,11,21,0,1,13,0
53,60,113,I,-71119.517,8333.7528,22308.3579,4860.712,12127.496,840.9694,2706.5541,-8915.8902,,,,,,,53,60,113,3,29,10,22,1,0,13,0
54,59,113,Xe,-62203.626,8247.9277,23826.0,3194.0815,10248.5967,2429.2587,3086.8573,-10439.0876,,,,,,,54,59,113,4,28,9,23,0,1,13,0
55,58,113,Cs,-51764.539,8148.623,25007.0,1388.686,13421.0,-972.8379,3483.0508,-12055.0,,,,,,,55,58,113,5,27,8,24,1,0,13,0
56,57,113,Ba,-39710.0,8035.0,,-233.0,,584.0,4035.0,,,,,,,,56,57,113,6,26,7,25,0,1,13,0
41,73,114,Nb,-34960.0,8097.0,7033.0,,2821.0,15909.0,,14720.0,,,,,,,41,73,114,9,41,23,9,1,1,18,0
42,72,114,Mo,-49680.0,8219.0,8343.0,31839.0,5102.0,16759.0,-9885.0,8920.0,,,,,,,42,72,114,8,40,22,10,0,0,18,1
43,71,114,Tc,-58600.294,8290.2599,9483.998,29108.0,3860.0633,13239.0,-8715.2955,11620.919,,,,,,,43,71,114,7,39,21,11,1,1,18,0
44,70,114,Ru,-70221.213,8385.3351,10732.9761,27319.0,6424.7149,14698.6353,-8110.3143,5489.0622,,,,,708.23,2.6706341110977454,44,70,114,6,38,20,12,0,0,18,1
45,69,114,Rh,-75710.275,8426.6221,12121.8594,25029.2853,5014.6495,11131.4302,-7100.6275,7780.0712,,,,,,,45,69,114,5,37,19,13,1,1,18,0
46,68,114,Pd,-83490.346,8488.0056,13311.9433,22437.4156,7971.1649,12012.3738,-5842.6333,1440.4642,332.5,0.57,0.201,153.0,852.3716,2.56266810177655,46,68,114,4,36,18,14,0,0,18,1
47,67,114,Ag,-84930.811,8493.7786,14489.7178,19777.7009,5975.3039,8629.2821,-4527.0337,5084.1233,,,,,,,47,67,114,3,35,17,15,1,1,18,0
48,66,114,Cd,-90014.934,8531.5135,15582.7127,18271.8367,9042.9656,10277.0801,-4108.9454,-1445.1268,558.456,0.58,0.194,19.59,1283.7398,2.298729604935893,48,66,114,2,34,16,16,0,0,18,1
49,65,114,In,-88569.807,8511.9742,16722.3165,16564.0203,7274.0018,6815.4918,-3537.4168,1989.9281,,,,,,,49,65,114,1,33,15,17,1,1,16,0
50,64,114,Sn,-90559.735,8522.5671,18047.3222,14562.82,10302.924,8481.5829,-2636.6816,-6063.1189,1299.907,0.2062,0.111,0.546,2187.60211,1.682890339060227,50,64,114,0,32,14,18,0,0,14,1
51,63,114,Sb,-84496.616,8462.5191,19040.2793,11084.4317,8150.9688,3457.4581,-451.5627,-2606.9398,,,,,,,51,63,114,1,31,13,19,1,1,14,0
52,62,114,Te,-81889.676,8432.7885,20464.7945,7812.5694,11613.9571,4761.682,1527.4002,-9250.7417,708.74,0.57,0.175,8.8,1483.8324,2.093615796450469,52,62,114,2,30,12,20,0,0,14,1
53,61,114,I,-72638.935,8344.779,21718.2323,5617.9037,9590.7363,1580.8684,2385.8939,-5553.036,,,,,,,53,61,114,3,29,11,21,1,1,14,0
54,60,114,Xe,-67085.899,8289.2054,23202.1872,4096.3227,12953.5905,3255.3533,2719.006,-12399.9706,450.08,1.211,0.2492,35.1,1069.13,2.375412119438707,54,60,114,4,28,10,22,0,0,14,1
55,59,114,Cs,-54685.928,8173.5711,24414.0,2200.5317,10992.7075,-228.7271,3356.9999,-8780.4915,,,,,,,55,59,114,5,27,9,23,1,1,14,0
56,58,114,Ba,-45905.437,8089.6865,,457.0311,14267.0,1429.869,3592.284,,,,,,,,56,58,114,6,26,8,24,0,0,14,1
41,74,115,Nb,-30880.0,8061.0,6813.0,,3991.0,,,13670.0,,,,,,,41,74,115,9,41,24,8,1,0,17,0
42,73,115,Mo,-44550.0,8173.0,8042.0,32788.0,2941.0,16879.0,-10494.0,11247.0,,,,,,,42,73,115,8,40,23,9,0,1,17,0
43,72,115,Tc,-55796.0,8264.0,9128.0,30165.0,5268.0,13405.0,-9261.0,10309.0,,,,,,,43,72,115,7,39,22,10,1,0,17,0
44,71,115,Ru,-66105.296,8346.814,10380.1156,28033.0,3955.4006,14793.9726,-8590.3979,8123.9327,,,,,,,44,71,115,6,38,21,11,0,1,17,0
45,70,115,Rh,-74229.228,8410.6538,11604.9206,25995.6216,6590.2711,11296.9863,-7629.4686,6196.5938,,,,,,,45,70,115,5,37,20,12,1,0,17,0
46,69,115,Pd,-80425.822,8457.7342,12977.9585,23135.948,5006.7936,12004.5179,-6065.4124,4556.7647,,,,,,,46,69,115,4,36,19,13,0,1,17,0
47,68,115,Ag,-84982.587,8490.5553,14098.398,20793.5851,8123.0941,8781.2113,-5103.6316,3101.893,,,,,,,47,68,115,3,35,18,14,1,0,17,0
48,67,115,Cd,-88084.48,8510.7252,15183.8295,19071.9222,6140.8639,10442.6401,-4523.5093,1451.8768,,,,,,,48,67,115,2,34,17,15,0,1,17,0
49,66,115,In,-89536.357,8516.5472,16311.8692,17087.4738,9037.8675,6810.3937,-3745.8253,497.4892,,,,,,,49,66,115,1,33,16,16,1,0,17,0
50,65,115,Sn,-90033.846,8514.0702,17848.3525,15568.5015,7545.4285,8753.0096,-3206.5145,-3030.4336,,,,,,,50,65,115,0,32,15,17,0,1,15,0
51,64,115,Sb,-87003.412,8480.9156,18729.0827,12214.2308,10578.1139,3732.648,-1036.2782,-4940.6447,,,,,,,51,64,115,1,31,14,18,1,0,15,0
52,63,115,Te,-82062.767,8431.1504,19858.3661,8312.5803,8244.409,4855.1222,1450.8973,-5724.9628,,,,,,,52,63,115,2,30,13,19,0,1,15,0
53,62,115,I,-76337.805,8374.5651,21360.9243,6498.7812,11770.188,1737.0992,2074.0261,-7681.0475,,,,,,,53,62,115,3,29,12,20,1,0,15,0
54,61,115,Xe,-68656.757,8300.9704,22595.7671,4887.6619,9642.1765,3306.7935,2505.8139,-8957.0,,,,,,,54,61,115,4,28,11,21,0,1,15,0
55,60,115,Cs,-59699.0,8216.0,24078.0,3158.0,13085.0,-97.0,2829.0,-10779.0,,,,,,,55,60,115,5,27,10,22,1,0,15,0
56,59,115,Ba,-48920.0,8116.0,25353.0,1295.0,11086.0,1523.0,3175.0,,,,,,,,56,59,115,6,26,9,23,0,1,15,0
41,75,116,Nb,-25230.0,8012.0,6413.0,,2422.0,,,15980.0,,,,,,,41,75,116,9,41,25,7,1,1,16,0
42,74,116,Mo,-41210.0,8143.0,7673.0,,4732.0,17619.0,-11215.0,10003.0,,,,,,,42,74,116,8,40,24,8,0,0,16,1
43,73,116,Tc,-51214.0,8223.0,8756.0,30832.0,3488.0,13953.0,-9569.0,12855.0,,,,,,,43,73,116,7,39,23,9,1,1,16,0
44,72,116,Ru,-64068.917,8326.884,9990.3403,28967.0,6034.9397,15561.0,-9014.0,6666.8252,,,,,760.14,2.599372640691634,44,72,116,6,38,22,10,0,0,16,1
45,71,116,Rh,-70735.742,8377.6123,11168.1033,26713.3905,4577.8322,11919.4179,-7901.7262,9095.2839,,,,,,,45,71,116,5,37,21,11,1,1,16,0
46,70,116,Pd,-79831.026,8449.2755,12483.316,24187.7555,7476.5223,12890.7692,-6625.0692,2711.6378,,,,,877.5812,2.5790882480868023,46,70,116,4,36,20,12,0,0,16,1
47,69,116,Ag,-82542.664,8465.9073,13754.4895,21410.331,5631.3954,9405.8131,-5236.528,6169.8248,,,,,,,47,69,116,3,35,19,13,1,1,16,0
48,68,116,Cd,-88712.489,8512.3511,14840.1911,19800.0846,8699.3272,11018.8732,-4816.3654,-462.7305,513.49,0.578,0.1915,25.4,1219.44818,2.3748229250356605,48,68,116,2,34,18,14,0,0,16,1
49,67,116,In,-88249.758,8501.6177,15822.5874,17896.8899,6784.72,7454.2498,-4090.9453,3276.2204,,,,,,,49,67,116,1,33,17,15,1,1,16,0
50,66,116,Sn,-91525.979,8523.1166,17108.8797,16088.987,9563.4512,9278.5934,-3376.0374,-4703.9591,1293.56,0.207,0.11,0.701,2390.87918,1.8482928517932824,50,66,116,0,32,16,16,0,0,16,1
51,65,116,Sb,-86822.02,8475.8208,18468.0396,12830.1548,7889.9257,4077.1451,-1256.8089,-1558.2272,,,,,,,51,65,116,1,31,15,17,1,1,16,0
52,64,116,Te,-85263.793,8455.6435,19516.7522,9281.9994,11272.3432,5549.3514,966.3408,-7843.1388,678.92,0.57,0.175,8.8,1359.3915,2.002276399532789,52,64,116,2,30,14,18,0,0,16,1
53,63,116,I,-77420.654,8381.2858,20924.3551,7501.9795,9154.1671,2646.8573,1753.4036,-4373.7764,,,,,,,53,63,116,3,29,13,19,1,1,16,0
54,62,116,Xe,-73046.877,8336.8365,22103.6147,5735.143,12461.4382,3998.0437,2095.725,-11004.0,393.6,1.383,0.2633,65.6,917.93,2.3320207306539302,54,62,116,4,28,12,20,0,0,16,1
55,61,116,Cs,-62043.0,8235.0,23499.0,3982.0,10414.0,675.0,2596.0,-7663.0,,,,,,,55,61,116,5,27,11,21,1,1,16,0
56,60,116,Ba,-54380.0,8162.0,24617.0,1872.0,13531.0,1969.0,3222.0,-14330.0,,,,,,,56,60,116,6,26,10,22,0,0,16,1
57,59,116,La,-40050.0,8032.0,,-58.0,,-1581.0,3940.0,,,,,,,,57,59,116,7,25,9,23,1,1,16,0
42,75,117,Mo,-35689.0,8096.0,7282.0,,2550.0,17748.0,-11774.0,12450.0,,,,,,,42,75,117,8,40,25,7,0,1,15,0
43,74,117,Tc,-48140.0,8195.0,8486.0,31838.0,4997.0,14218.0,-10355.0,11350.0,,,,,,,43,74,117,7,39,24,8,1,0,15,0
44,73,117,Ru,-59489.871,8285.5625,9527.2114,29518.0,3492.2718,15565.0,-9265.0,9406.8875,,,,,,,44,73,117,6,38,23,9,0,1,15,0
45,72,117,Rh,-68896.758,8359.2766,10810.1663,27678.0,6232.334,12116.8123,-8510.1255,7527.1313,,,,,,,45,72,117,5,37,22,10,1,0,15,0
46,71,117,Pd,-76423.89,8416.9243,12140.7037,24896.5362,4664.1814,12977.1183,-6980.9894,5758.0284,,,,,,,46,71,117,4,36,21,11,0,1,15,0
47,70,117,Ag,-82181.918,8459.4515,13341.9674,22530.6319,7710.572,9639.8627,-5839.8901,4236.479,,,,,,,47,70,117,3,35,20,12,1,0,15,0
48,69,117,Cd,-86418.397,8488.974,14476.5534,20570.5171,5777.2262,11164.704,-5252.8132,2524.6381,,,,,,,48,69,117,2,34,19,13,0,1,15,0
49,68,117,In,-88943.035,8503.8653,15549.3147,18538.3905,8764.5947,7519.5173,-4341.1261,1454.7073,,,,,,,49,68,117,1,33,18,14,1,0,15,0
50,67,117,Sn,-90397.742,8509.612,16506.5328,16891.2048,6943.0816,9436.955,-3779.3719,-1758.1788,,,,,,,50,67,117,0,32,17,15,0,1,15,0
51,66,117,Sb,-88639.564,8487.8981,17778.7876,13681.1492,9888.8619,4402.5559,-1697.3561,-3544.0634,,,,,,,51,66,117,1,31,16,16,1,0,17,0
52,65,117,Te,-85095.5,8450.9203,19175.3689,9639.5967,7903.0258,5562.4516,807.7132,-4656.9321,,,,,,,52,65,117,2,30,15,17,0,1,17,0
53,64,117,I,-80438.568,8404.4307,20243.3996,8013.0981,11089.2325,2463.7467,1553.4816,-6253.2213,,,,,,,53,64,117,3,29,14,18,1,0,17,0
54,63,117,Xe,-74185.347,8344.2976,21671.2258,6700.5215,9209.7876,4053.6642,1736.7748,-7692.2462,,,,,,,54,63,117,4,28,13,19,0,1,17,0
55,62,117,Cs,-66493.101,8271.8652,22936.0,4733.2381,12522.0,735.1944,2201.5,-9035.1943,,,,,,,55,62,117,5,27,12,20,1,0,17,0
56,61,117,Ba,-57457.906,8187.9546,24680.0,3379.0913,11150.0,2704.0,2320.8041,-11187.0,,,,,,,56,61,117,6,26,11,21,0,1,17,0
57,60,117,La,-46271.0,8086.0,,1149.0,14292.0,-820.0999,3069.0,,,,,,,,57,60,117,7,25,10,22,1,0,17,0
42,76,118,Mo,-32370.0,8067.0,7303.0,,4752.0,,,10920.0,,,,,,,42,76,118,8,40,26,6,0,0,14,1
43,75,118,Tc,-43290.0,8153.0,8219.0,32638.0,3222.0,14890.0,-10755.0,13710.0,,,,,,,43,75,118,7,39,25,7,1,1,14,0
44,74,118,Ru,-57000.0,8263.0,9074.0,30368.0,5581.0,16149.0,-9745.0,7887.0,,,,,809.94,2.472117937917773,44,74,118,6,38,24,8,0,0,14,1
45,73,118,Rh,-64886.84,8322.8539,10293.7333,28251.0,4061.3992,12685.9397,-8711.4614,10501.5182,,,,,,,45,73,118,5,37,23,9,1,1,14,0
46,72,118,Pd,-75388.358,8405.2197,11699.9676,25897.3827,7035.7862,13780.5705,-7592.0606,4165.4444,,,,,953.1914,2.517607564512295,46,72,118,4,36,22,10,0,0,14,1
47,71,118,Ag,-79553.802,8433.89,13153.7742,23396.0019,5443.2022,10418.8836,-6268.4428,7147.8469,,,,,,,47,71,118,3,35,21,11,1,1,14,0
48,70,118,Cd,-86701.649,8487.835,14131.7962,21448.5648,8354.5701,11808.7021,-5636.2184,526.5277,487.77,0.473,0.171,25.9,1164.949,2.388277044065128,48,70,118,2,34,20,12,0,0,14,1
49,69,118,In,-87228.177,8485.667,15121.0544,19263.4547,6356.4596,8098.7507,-4722.2819,4424.6664,,,,,,,49,69,118,1,33,19,13,1,1,14,0
50,68,118,Sn,-91652.843,8516.5341,16269.5003,17518.2963,9326.4187,9998.779,-4062.825,-3656.6393,1229.666,0.1975,0.1063,0.937,2280.34221,1.8544400782729515,50,68,118,0,32,18,14,0,0,14,1
51,67,118,Sb,-87996.204,8478.9156,17316.8201,14324.3874,7427.9581,4887.4324,-1851.3124,-305.4459,,,,,,,51,67,118,1,31,17,15,1,1,16,0
52,66,118,Te,-87690.758,8469.697,18569.6014,10742.7211,10666.5756,6340.1653,444.0616,-6719.7015,605.706,0.685,0.1903,10.71,1206.423,1.9917626730583244,52,66,118,2,30,16,16,0,0,18,1
53,65,118,I,-80971.056,8406.1203,19693.0388,8726.9787,8603.8063,3164.5272,1100.6441,-2891.9893,,,,,,,53,65,118,3,29,15,17,1,1,18,0
54,64,118,Xe,-78079.067,8374.9819,21174.8259,7393.2167,11965.0383,4929.47,1385.6935,-9669.6905,337.32,1.739,0.292,65.2,810.2716,2.402076595815325,54,64,118,4,28,14,18,0,0,18,1
55,63,118,Cs,-68409.377,8286.4053,22509.0,5566.665,9987.594,1513.0009,1804.6423,-6210.0,,,,,,,55,63,118,5,27,13,19,1,1,18,0
56,62,118,Ba,-62200.0,8227.0,23963.0,3731.0,12813.0,2995.0,2461.0,-12580.0,194.0,2.34,0.323,510.0,554.0,2.855670103092784,56,62,118,6,26,12,20,0,0,18,1
57,61,118,La,-49620.0,8114.0,25713.0,2155.0,11420.0,-549.0,2641.0,,,,,,,,57,61,118,7,25,11,21,1,1,18,0
42,77,119,Mo,-26580.0,8019.0,7034.0,,2281.0,,,13590.0,,,,,,,42,77,119,8,40,27,5,0,1,13,0
43,76,119,Tc,-40170.0,8126.0,8173.0,,4951.0,15088.0,-11715.0,11910.0,,,,,,,43,76,119,7,39,26,6,1,0,13,0
44,75,119,Ru,-52080.0,8220.0,8733.0,30969.0,3151.0,16079.0,-9955.0,10743.0,,,,,,,44,75,119,6,38,25,7,0,1,13,0
45,74,119,Rh,-62822.802,8303.3953,10068.6798,29261.0,6007.2806,13112.0,-9451.0,8584.4751,,,,,,,45,74,119,5,37,24,8,1,0,13,0
46,73,119,Pd,-71407.277,8368.9594,11126.0236,26495.3484,4090.2374,13809.4086,-7726.8974,7238.4816,,,,,,,46,73,119,4,36,23,9,0,1,13,0
47,72,119,Ag,-78645.759,8423.2126,12606.4768,24326.9425,7163.2746,10546.372,-6841.4463,5331.1799,,,,,,,47,72,119,3,35,22,10,1,0,13,0
48,71,119,Cd,-83976.939,8461.4381,13701.1777,22130.9911,5346.6077,11712.1075,-5976.0325,3721.7197,,,,,,,48,71,119,2,34,21,11,0,1,13,0
49,70,119,In,-87698.658,8486.1387,14898.2593,20094.6825,8541.7997,8285.9804,-5140.9875,2366.3263,,,,,,,49,70,119,1,33,20,12,1,0,13,0
50,69,119,Sn,-90064.985,8499.4494,15809.8783,18224.5297,6483.4596,10125.779,-4405.4207,-589.4452,,,,,,,50,69,119,0,32,19,13,0,1,13,0
51,68,119,Sb,-89475.539,8487.9218,16978.6119,15110.4464,9550.6538,5111.6674,-2364.0987,-2293.0,,,,,,,51,68,119,1,31,18,14,1,0,15,0
52,67,119,Te,-87182.539,8462.0785,18229.6753,11362.7391,7563.0996,6475.3068,426.3905,-3404.808,,,,,,,52,67,119,2,30,17,15,0,1,17,0
53,66,119,I,-83777.731,8426.8924,19481.7994,9716.1099,10877.9931,3375.9446,800.7649,-4983.2433,,,,,,,53,66,119,3,29,16,16,1,0,19,0
54,65,119,Xe,-78794.488,8378.442,20751.7774,8276.93,8786.7391,5112.4029,843.3634,-6489.4269,,,,,,,54,65,119,4,28,15,17,0,1,19,0
55,64,119,Cs,-72305.061,8317.3347,21954.5967,6444.4352,11967.0027,1514.9652,1607.8276,-7714.9651,,,,,,,55,64,119,5,27,14,18,1,0,19,0
56,63,119,Ba,-64590.096,8245.9287,23274.8259,4982.6914,10462.0,3469.6905,1641.7452,-9570.0,,,,,,,56,63,119,6,26,13,19,0,1,19,0
57,62,119,La,-55020.0,8159.0,24892.0,3104.0,13471.0,109.0,2255.0,-11199.0,,,,,,,57,62,119,7,25,12,20,1,0,19,0
58,61,119,Ce,-43820.0,8058.0,,940.0,,1489.0,2675.0,,,,,,,,58,61,119,8,24,11,21,0,1,19,0
43,77,120,Tc,-35000.0,8083.0,7852.0,,2902.0,15709.0,-12194.0,14720.0,,,,,,,43,77,120,7,39,27,5,1,1,12,0
44,76,120,Ru,-49720.0,8199.0,8863.0,31928.0,5712.0,16840.0,-10935.0,8899.0,,,,,,,44,76,120,6,38,26,6,0,0,12,1
45,75,120,Rh,-58620.0,8266.0,9876.0,29908.0,3868.0,13829.0,-9831.0,11660.0,,,,,,,45,75,120,5,37,25,7,1,1,12,0
46,74,120,Pd,-70279.604,8357.0817,11033.8826,27858.0,6943.6452,14745.7732,-8635.6029,5371.9076,,,,,1056.515,2.4120796328850944,46,74,120,4,36,24,8,0,0,12,1
47,73,120,Ag,-75651.512,8395.3281,12240.3458,25342.6144,5077.0712,11533.2058,-7340.6853,8305.8535,,,,,,,47,73,120,3,35,23,9,1,1,12,0
